P9	-0.270	0
P10	0.666	0
P11	-0.274	0
P12	0.328	0
P13	0.315	0
P14	0.434	0
P15	0.713	0
P16	0.909	0
P17	0.816	0
P18	0.819	0
P19	1.041	0
P20	1.280	0
P21	1.446	0
SD-	0.273	0
SD+	1.450	0
P5	-0.204	0
P6	-0.373	0
P7	-0.404	0
P8	-0.319	0
P9	-0.266	0
P10	0.670	0
P11	-0.270	0
P12	0.332	0
P13	0.319	0
P14	0.438	0
P15	0.717	0
P16	0.913	0
P17	0.820	0
P18	0.823	0
P19	1.045	0
P20	1.283	0
P21	1.450	0
SD-	0.277	0
SD+	1.454	0
P5	-0.200	0
P6	-0.369	0
P7	-0.400	0
P8	-0.315	0
P9	-0.262	0
P10	0.674	0
P11	-0.266	0
P12	0.336	0
P13	0.323	0
P14	0.442	0
P15	0.721	0
P16	0.917	0
P17	0.824	0
P18	0.826	0
P19	1.049	0
P20	1.287	0
P21	1.454	0
SD-	0.281	0
SD+	1.458	0
P5	-0.196	0
P6	-0.365	0
P7	-0.396	0
P8	-0.311	0
P9	-0.258	0
P10	0.678	0
P11	-0.262	0
P12	0.340	0
P13	0.327	0
P14	0.446	0
P15	0.725	0
P16	0.921	0
P17	0.828	0
P18	0.830	0
P19	1.053	0
P20	1.291	0
P21	1.458	0
SD-	0.285	0
SD+	1.462	0
P5	-0.192	0
P6	-0.361	0
P7	-0.392	0
P8	-0.307	0
P9	-0.254	0
P10	0.682	0
P11	-0.258	0
P12	0.344	0
P13	0.331	0
P14	0.450	0
P15	0.728	0
P16	0.925	0
P17	0.832	0
P18	0.834	0
P19	1.057	0
P20	1.295	0
P21	1.462	0
SD-	0.290	0
SD+	1.466	0
P5	-0.188	0
P6	-0.357	0
P7	-0.388	0
P8	-0.303	0
P9	-0.250	0
P10	0.686	0
P11	-0.254	0
P12	0.348	0
P13	0.335	0
P14	0.453	0
P15	0.732	0
P16	0.928	0
P17	0.836	0
P18	0.838	0
P19	1.061	0
P20	1.299	0
P21	1.466	0
SD-	0.294	0
SD+	1.470	0
P5	-0.184	0
P6	-0.353	0
P7	-0.384	0
P8	-0.299	0
P9	-0.246	0
P10	0.690	0
P11	-0.250	0
P12	0.352	0
P13	0.339	0
P14	0.457	0
P15	0.736	0
P16	0.932	0
P17	0.840	0
P18	0.842	0
P19	1.065	0
P20	1.303	0
P21	1.470	0
SD-	0.298	0
SD+	1.474	0
P5	-0.180	0
P6	-0.349	0
P7	-0.380	0
P8	-0.295	0
P9	-0.243	0
P10	0.694	0
P11	-0.246	0
P12	0.356	0
P13	0.343	0
P14	0.461	0
P15	0.740	0
P16	0.936	0
P17	0.844	0
P18	0.846	0
P19	1.069	0
P20	1.307	0
P21	1.474	0
SD-	0.302	0
SD+	1.477	0
P5	-0.176	0
P6	-0.345	0
P7	-0.376	0
P8	-0.291	0
P9	-0.239	0
P10	0.698	0
P11	-0.242	0
P12	0.360	0
P13	0.347	0
P14	0.465	0
P15	0.744	0
P16	0.940	0
P17	0.848	0
P18	0.850	0
P19	1.072	0
P20	1.311	0
P21	1.477	0
SD-	0.306	0
SD+	1.481	0
P5	-0.172	0
P6	-0.341	0
P7	-0.372	0
P8	-0.287	0
P9	-0.235	0
P10	0.702	0
P11	-0.238	0
P12	0.364	0
P13	0.351	0
P14	0.469	0
P15	0.748	0
P16	0.944	0
P17	0.852	0
P18	0.854	0
P19	1.076	0
P20	1.315	0
P21	1.481	1
SD-	0.311	0
SD+	1.485	0
P5	-0.168	0
P6	-0.337	0
P7	-0.368	0
P8	-0.283	0
P9	-0.231	0
P10	0.706	0
P11	-0.234	0
P12	0.368	0
P13	0.355	0
P14	0.473	0
P15	0.752	0
P16	0.948	0
P17	0.856	0
P18	0.858	0
P19	1.080	0
P20	1.319	0
P21	1.485	0
SD-	0.315	0
SD+	1.489	0
P5	-0.164	0
P6	-0.333	0
P7	-0.363	0
P8	-0.279	0
P9	-0.227	0
P10	0.710	0
P11	-0.230	0
P12	0.372	0
P13	0.358	0
P14	0.477	0
P15	0.756	0
P16	0.952	0
P17	0.860	0
P18	0.862	0
P19	1.084	0
P20	1.323	0
P21	1.489	0
SD-	0.319	0
SD+	1.493	0
P5	-0.159	0
P6	-0.329	0
P7	-0.359	0
P8	-0.275	0
P9	-0.223	0
P10	0.714	0
P11	-0.226	0
P12	0.376	0
P13	0.362	0
P14	0.481	0
P15	0.760	0
P16	0.956	0
P17	0.863	0
P18	0.866	0
P19	1.088	0
P20	1.326	0
P21	1.493	0
SD-	0.323	0
SD+	1.497	0
P5	-0.155	0
P6	-0.325	0
P7	-0.355	0
P8	-0.271	0
P9	-0.219	0
P10	0.719	0
P11	-0.222	0
P12	0.379	0
P13	0.366	0
P14	0.485	0
P15	0.764	0
P16	0.960	0
P17	0.867	0
P18	0.870	0
P19	1.092	0
P20	1.330	0
P21	1.497	0
SD-	0.327	0
SD+	1.501	0
P5	-0.151	0
P6	-0.321	0
P7	-0.351	0
P8	-0.267	0
P9	-0.215	0
P10	0.723	0
P11	-0.218	0
P12	0.383	0
P13	0.370	0
P14	0.489	0
P15	0.768	0
P16	0.964	0
P17	0.871	0
P18	0.874	0
P19	1.096	0
P20	1.334	0
P21	1.501	0
SD-	0.332	0
SD+	1.505	0
P5	-0.147	0
P6	-0.317	0
P7	-0.347	0
P8	-0.263	0
P9	-0.211	0
P10	0.727	0
P11	-0.214	0
P12	0.387	0
P13	0.374	0
P14	0.493	0
P15	0.772	0
P16	0.968	0
P17	0.875	0
P18	0.877	0
P19	1.100	0
P20	1.338	0
P21	1.505	0
SD-	0.336	0
SD+	1.509	0
P5	-0.143	0
P6	-0.313	0
P7	-0.343	0
P8	-0.259	0
P9	-0.207	0
P10	0.731	0
P11	-0.210	0
P12	0.391	0
P13	0.378	0
P14	0.497	0
P15	0.776	0
P16	0.972	0
P17	0.879	0
P18	0.881	0
P19	1.104	0
P20	1.342	0
P21	1.509	0
SD-	0.340	0
SD+	1.513	0
P5	-0.139	0
P6	-0.309	0
P7	-0.339	0
P8	-0.255	0
P9	-0.203	0
P10	0.735	0
P11	-0.206	0
P12	0.395	0
P13	0.382	0
P14	0.501	0
P15	0.779	0
P16	0.976	0
P17	0.883	0
P18	0.885	0
P19	1.108	0
P20	1.346	0
P21	1.513	0
SD-	0.344	0
SD+	1.517	0
P5	-0.135	0
P6	-0.305	0
P7	-0.335	0
P8	-0.251	0
P9	-0.199	0
P10	0.739	0
P11	-0.202	0
P12	0.399	0
P13	0.386	0
P14	0.505	0
P15	0.783	0
